Roulette Result

Generation	Avg	BestFit	BestProfit
71	5481.910156	3.131892	14185
72	6138.470215	3.203426	14047
73	6035.970215	2.999618	14130
74	5461.509766	3.185566	14020
75	6294.750000	3.252832	14098
76	6294.259766	3.034845	13970
77	6440.419922	3.254358	14260
78	6534.490234	3.363212	14133
79	5613.700195	3.242516	14078
80	6147.750000	3.504264	14450
81	6643.890137	3.744945	14405
82	6643.080078	3.870749	14679
83	6780.620117	3.352591	14357
84	6389.089844	3.071796	14206
85	6232.490234	3.889600	14828
86	6107.000000	3.007552	14123
87	6388.350098	4.016581	14585
88	6126.490234	3.428755	14391
89	6103.439941	3.073636	13934
90	5976.790039	3.280143	14186
91	6262.609863	3.261090	14270
92	5719.859863	3.168516	14050
93	6402.859863	3.101528	14319
94	6792.810059	2.912639	14198
95	6144.060059	2.864041	14054
96	6171.109863	3.121989	14479
97	6317.600098	3.570015	14573
98	6035.250000	3.107022	14183
99	6173.799805	3.014797	14249
